,CD_ID,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020
189,MD-02,60.1,35.7,768511,403743,37.1,48102,405867,272284,41651,1475,1040,8915,2166,10829,662879,89222,172740,125613,51087,100647,400516,156,71411,36094,85329,19346,0.4324,38.9,382126,484,19610,21237,42607,23042,26011,38083,63547,23797,39831,5670,1235,"Congressional District 2 (116th Congress), Maryland",24,02,Maryland,MD,94.8,0.5422356406,39.36666667,309436.6508827993,315467.0098164639,321614.88950523327
190,MD-03,62.8,32.3,754636,388006,37.3,44124,465062,173443,57822,2041,1539,9671,2656,17957,615522,126141,161571,134997,40696,140954,418421,263,91265,44444,55353,43057,0.4487,38.7,405176,1155,24531,19352,34504,16741,27845,43629,58542,24611,35851,9769,1480,"Congressional District 3 (116th Congress), Maryland",24,03,Maryland,MD,95.2,0.5422356406,39.36666667,335689.7485550451,343409.9157648192,351307.6307907045
191,MD-04,77.2,19.7,760398,395447,38.0,46415,211823,397886,24360,1055,966,6078,6327,19173,592289,157754,180159,119128,65941,106098,431050,33,84059,40795,59858,30321,0.4171,40.7,402233,898,34976,9300,36263,23501,20838,32910,53144,29924,50326,7208,1449,"Congressional District 4 (116th Congress), Maryland",24,04,Maryland,MD,90.6,0.5422356406,39.36666667,327229.809238065,325080.647862633,322945.60162734793
192,MD-05,64.1,32.1,757621,386714,38.7,62675,358663,294783,32124,2690,1753,7608,3333,17431,651089,92566,164847,135825,39730,109979,408030,251,99738,43974,46803,35532,0.3897,41.0,392371,1451,34687,10592,34882,19577,18514,37032,48648,20674,64604,7336,1572,"Congressional District 5 (116th Congress), Maryland",24,05,Maryland,MD,93.8,0.5422356406,39.36666667,355303.0368207122,363617.0731669844,372125.656683429
193,MD-06,55.3,40.2,758943,381241,39.2,40258,504729,103706,81520,1618,2985,8151,4370,11140,595493,152238,174558,145427,49249,114504,398401,261,80183,37101,69650,36831,0.4717,41.0,380213,2117,28906,20198,38035,17176,23232,30721,47841,26105,33309,7182,1359,"Congressional District 6 (116th Congress), Maryland",24,06,Maryland,MD,93.6,0.5422356406,39.36666667,323675.4868414942,337138.0962486176,351160.654924119
194,MD-07,75.8,20.2,716136,377144,38.5,35787,251762,374252,52833,1811,1876,5922,678,10922,623444,82693,151190,99499,54817,103497,355184,772,60729,32179,102430,28427,0.5039,39.5,338538,1746,17147,16250,30228,18006,18239,41877,56842,22915,28496,4777,1145,"Congressional District 7 (116th Congress), Maryland",24,07,Maryland,MD,93.8,0.5422356406,39.36666667,337313.2959957003,321291.8837629214,306031.4425709517
195,MD-08,65,30.6,784852,401661,39.9,36473,502193,103425,73074,1747,1192,7485,5597,10456,591885,179959,174658,157396,47991,137203,438587,316,107669,46629,46928,58780,0.4665,41.6,425120,1581,31548,13299,33483,12872,26186,42074,51259,26601,48040,12943,1705,"Congressional District 8 (116th Congress), Maryland",24,08,Maryland,MD,94.5,0.5422356406,39.36666667,352756.3883730167,364411.2819596578,376451.24736637966
196,ME-01,54.1,39.3,685535,351336,44.5,51298,642636,11986,11378,1909,1850,3276,364,4277,648440,29313,127484,140946,26355,122049,376001,239,66516,33489,58997,17599,0.4362,41.6,371892,4811,23642,33453,48215,14665,28793,36126,63942,23917,13149,6993,982,"Congressional District 1 (116th Congress), Maine",23,01,Maine,ME,93.3,0.602059121,39.36666667,374521.875092438,393343.4382483785,413110.87736829475
197,ME-02,41.1,51.4,652869,331334,45.6,54087,618817,6968,4305,6657,384,2972,310,2993,627635,18105,121068,126069,42106,75440,317663,1427,46925,25613,92544,7135,0.4557,42.3,306648,12336,23336,24814,40662,14975,16704,32281,55081,20983,12772,3328,728,"Congressional District 2 (116th Congress), Maine",23,02,Maine,ME,90.5,0.602059121,39.36666667,336531.124907562,352340.5617516215,368892.6885724103
198,MI-01,36.6,57.9,699220,343175,46.7,56370,643692,9447,5169,17771,137,1196,44,9948,680468,14579,128286,148808,36545,85744,319255,799,51153,26426,87875,9574,0.4495,41.2,306992,8623,23057,36432,40601,12918,13427,24653,47136,29502,16305,3367,707,"Congressional District 1 (116th Congress), Michigan",26,01,Michigan,MI,93.6,0.5777812337,39.36666667,353693.614007051,364131.061441746,374876.51644185284
199,MI-02,38.2,55.8,743361,375898,37.4,38876,625058,49717,19487,5025,1981,5451,1438,53708,695581,43537,171318,146037,40274,88889,373449,1059,57769,28638,78303,9641,0.4177,38.6,363487,6179,22142,83761,39492,14873,15663,27424,52199,26198,8094,4244,836,"Congressional District 2 (116th Congress), Michigan",26,02,Michigan,MI,94.8,0.5777812337,39.36666667,329984.581594947,346504.757556767,363851.9909904555
