,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,CD_ID
82,697898,360850,38.0,257124,541619,89234,25366,1677,1435,40577,3027,10247,599797,79439,155144,128616,53287,82264,20918,10,62295,31270,65197,12952,0.442,40.2,50218,64707,63651,62087,68674,54845,49540,73254,27660,42798,40536,54775,5.5,"Congressional District 3, Connecticut (111th Congress)",09,03,Connecticut,CT,CT-03
83,687704,352570,38.6,243580,528624,78209,28062,705,3182,37301,3529,13479,529452,137292,177560,135241,51960,115683,18710,15,83985,35703,54645,45951,0.556,41.8,61569,91911,99904,77619,83827,96444,72719,78185,25035,53363,45150,57273,6.0,"Congressional District 4, Connecticut (111th Congress)",09,04,Connecticut,CT,CT-04
84,700108,357093,39.4,255573,585070,40090,20267,1567,1028,56296,7407,8769,585734,89589,168467,138003,60595,93636,21354,62,65726,31561,61645,17773,0.462,41.6,50758,71814,67026,66041,76169,78409,54453,66431,26916,43142,40004,55259,5.7,"Congressional District 5, Connecticut (111th Congress)",09,05,Connecticut,CT,CT-05
85,588433,310911,35.4,217375,210983,324631,17439,1573,1917,3105,2739,7461,507165,73670,113992,56144,58664,83995,16688,112,56519,33633,102142,23557,0.54,36.9,54892,74651,73832,72125,73930,80567,64875,64212,24316,41812,41051,54181,4.3,"Delegate District (at Large), District of Columbia (111th Congress)",11,98,District of Columbia,DC,DC-98
86,863832,444291,37.8,311576,626289,176743,25084,2588,1153,17847,1320,26259,783855,67066,205229,162249,77799,95763,24421,120,57618,28963,88505,12494,0.435,39.9,43528,59044,54328,56988,72325,65012,48395,52724,20738,36335,34639,47252,6.2,"Congressional District (at Large), Delaware (111th Congress)",10,AL,Delaware,DE,DE-AL
87,693451,346812,37.2,245215,543985,97459,16869,4997,2545,6287,593,10929,641064,36815,159305,134071,63212,68016,22830,3629,46555,23346,89769,6181,0.435,39.1,35032,47966,45615,45758,63621,48553,36054,38050,19723,30042,27931,39177,5.6,"Congressional District 1, Florida (111th Congress)",12,01,Florida,FL,FL-01
88,705117,352791,35.8,270105,511113,156833,11017,3466,5009,6127,871,9371,658733,35895,150335,122460,70773,66333,22832,104,42957,22223,121190,6522,0.468,37.8,35728,48784,42823,46441,61400,44404,39614,36566,19783,30332,28716,38599,5.4,"Congressional District 2, Florida (111th Congress)",12,02,Florida,FL,FL-02
89,649914,333839,33.0,228642,259024,335512,11922,2560,4174,24505,3959,18351,554978,76182,168638,83227,88214,40733,20654,10,34213,19979,145252,1769,0.441,37.6,30066,40707,38162,40484,51812,35758,34803,40360,20493,28674,28557,35328,5.2,"Congressional District 3, Florida (111th Congress)",12,03,Florida,FL,FL-03
90,712902,356945,36.6,264552,558400,102442,24779,2363,5811,11020,986,11647,641139,58484,165021,135176,57725,86097,19087,212,54429,28819,70290,9805,0.435,39.4,40151,52897,47748,50675,63356,52628,42303,39599,21378,34806,32910,40220,5.7,"Congressional District 4, Florida (111th Congress)",12,04,Florida,FL,FL-04
91,869236,440473,45.2,337421,765359,52190,13389,3262,10134,31977,3067,20083,778654,68322,175202,201467,95440,79837,19688,53,44845,22696,97205,6146,0.422,41.7,36404,49449,49453,46769,58957,45577,35613,43478,21035,31655,29512,38072,5.5,"Congressional District 5, Florida (111th Congress)",12,05,Florida,FL,FL-05
92,784346,400316,38.2,294093,620480,107815,22260,2575,8203,17906,1207,13944,708654,59032,171392,156321,65783,71666,23937,9,46068,23925,103616,7622,0.447,38.8,37091,49196,45729,47684,60252,46174,39524,39388,20614,32516,30956,40463,5.6,"Congressional District 6, Florida (111th Congress)",12,06,Florida,FL,FL-06
93,783587,400241,41.2,294175,653616,74773,18200,2425,8284,33484,2801,15258,689480,71313,172034,158557,61863,98708,21941,0,50103,25883,85435,13319,0.472,41.4,38699,53889,49963,50634,65472,58618,42151,43727,21633,33754,30708,39724,5.7,"Congressional District 7, Florida (111th Congress)",12,07,Florida,FL,FL-07
94,774902,394442,36.0,286619,594938,74613,31394,2617,13043,85390,8570,21432,604474,117035,182127,144294,63439,104732,18865,8,50693,26250,84446,11190,0.451,38.5,37134,52290,47370,49473,62581,51506,41151,44366,22420,32770,30227,39161,5.5,"Congressional District 8, Florida (111th Congress)",12,08,Florida,FL,FL-08
95,741194,380551,41.3,275106,651905,39200,23175,1845,11212,20387,3555,24119,641071,83919,165593,153621,58877,99190,17359,0,51497,27167,71696,13844,0.467,41.9,41907,57437,53783,53232,64338,57700,45675,61759,21117,36862,32413,41069,5.5,"Congressional District 9, Florida (111th Congress)",12,09,Florida,FL,FL-09
